"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1.21764328572062,0,0,0,0.0416755473362228,0,0.815014256950269,0,1.88997693578056,0,0,0,0,0.0099506554491869,0,0,0,0,0,0,0,0.870110321858496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731232570064351,0,0,0,0,0,0,0.473998826185185,0,0,0,0,0
"2",0,0,0,0,0,0,1.8441211481892,0,0.908990733427859,1.12916100138877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21402403629664,0,1.93350990063881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.407822124103579,0.926157774446342,0,0,0,0,0,0,2.42799068713807,0.823680764814146,0,0,0,0.697569800474227,0,0,0.297285112342098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637746348223651,0,0,0,0,0,0,0,1.31188340291089,0,0.685499490543511,0,0,0,0,0
"4",0,0,0,0,0.165257451450139,0.526175092810034,0,0,1.43518881540093,0.505430588106016,0,0,0,0,0,0,0,0,0,0,0.764809134859884,0.224572574148996,0,0,0,1.20150532326617,0.173687366787963,0,0,0,0,0.0142598234883153,0,0,0,0,0,1.49311822795321,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0.970111531629239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0.375569001878575,0,0,0,0,0,0,0,-0.13792108721408,0,0,0,0,0,0,0,0,0,0,0,0.363379975144836,0,0,0,0,0,0,0,0,0,0.636951313152939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,-1.07728957042282,0,0,0,0,0.997500232311048,-0.203358566941418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666116807774478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0.242321830436078,0.414716257148436,0,0,0,0,0,0,-1.16981609203437,0,0,0,0,-0.183686489182147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409684272004779,0,0,0,0,0,0,1.58940351584805,0,1.45416408334028,0,0,0
"9",0,0,0,0,0,0,0,0.094020222882157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565988812278239,0,0,0,0,0,0,0,-0.344373672921159,0,0,0,-0.108971363987688,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,-0.717115255485616,0,0,0,-0.509762814114569,0,0,0,0,0,-0.709762748536333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906599590172413,0,0,0,0,0,0,0,0
"11",0,0.360953975293584,0,0,0,0,0.207327369634661,0,0,-0.0529256489639642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.268891727110408,0,0,0,0,0,1.64627657340037,0,0.222967264078456,0,0,0,-0.0289500690776889,0,0,0,0,2.299150267162,0,0,0,0,0,0.982668713048498,0
"12",1.47190186265172,0,0,0,0.451716892556766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473736149719392,0,0,0,0,0,0,0.868973392615928,0,0,0,0,0,0,0,0.91883435792359,0,0,0,0,0,0,0.325930056574747,0
"13",0,0,0,0,0,0,0.469790137370083,0.0746012510384573,0.137989545997656,0,0,0,0,0,0.481081463746173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03398599325833,0,0,0,0.278457009184912,0,0,0,0.367031037951994,0,0,0.181210111589998,0,0,0,0,-0.289762955810414
"14",0,0,-1.58027337165286,0,0,0,0,0,-1.56050252760945,0.508954091344277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.49221735189884,0,0,0,0.318928649873477,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0.428986024696224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00153427240655,0,0,0
"16",0,0,0,0,0,0,0,0,0.476799869868993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0.420497356143479,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1912716448137,0,0,0,0,0,0,0,0,0,0,0,0.733753984137416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18223000333407,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.475676973450116,0,0,0,0,0,0,0,0.23607332364158,0,0,0,0,0,0,0,0.0663037018278671,0,1.7099609650778,0,-0.619546171455363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0.354701096375406,0,0,0,0,0,0,0,0,0,0,0,0,0.772627510769145,0,0,0,0,0,0,0,0,0,0.704392348601399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17461036069086,0,0,0
"20",0,0.404513823504558,0,0,0.434948331006939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07373282038528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1.66848899044993,0,0,0,-0.297321542985254,0,0,0,0,0,0,0,0,1.38052920889471,1.26909368845618,0,0,0,0,0,0,0.359943926012215,0,0,0,0,0,0,0,0,0,0.914200908768905,0,0,0,0,0,0,0,0,0,0,0.113766239723924,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,-0.0637267869017975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,-0.413988309488305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.954405337753812,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.762864178151558,0,-0.172522359925528,0,0,0,0,-0.0791596211910254,0,0,0,0,0,0,0,0,0,0.740256935531783,0,0,0,0,0,1.23590842763153,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112012291222841,0,0,0,0,0,-0.556903045517494,0,0,0,0,1.16169959517841,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169479607049741,1.18902131365308,0,0,0,0,0,0,0,0,0,0,0,-0.547824394503,0,0,0,0,0,0,0.0162497637761304,0,0,0,0,0,0,0,0,0
"27",0,1.58981940910947,0,0,0,0,0,0,-1.53200913545554,0,0,0,0,-1.21008407528128,0,0,0,0,0,0,0.269548510951876,1.07098218517634,0,0,0,0,0,0.303773980824428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0.812684886139457,0,0,0,0,0.235302269539929,0.911187374523376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41028522118309,0,0,0,0,0,0,0,0,0,2.93480609685256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756660958071055,0,0.273020319012065,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0.895516955119071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191313389397744,0,0,0,0,0.321608902083006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,-1.08321991680229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296153375694212,0,0,0,0,0,0,1.41506905050818,0,0,0,0,0
"33",0,2.50127342960333,0,0,0,0,0,0,-0.210663411616688,0,0,0,0,0,0,0,-0.998162456068373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611506553347702,0,0,0,0,0,0,0,0,-0.0538931344043634,0,0,0,0,0,0,0
"34",0,-0.059235440738626,0,0,0.667303017534766,0,0,0,0.0396563120410327,0,0,0,0,0,0,0,0.840904751400072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0.344071989033442,0,0,0,0,-0.415255696852277,1.20808716412307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.420381279516282,0,0,0,0,0.404586756787521,0,0,0,0,0,0,0,0,1.20775073654105,0,0.730034086716391,0,0,0,0,0
"36",0,0,0,0,0,0,0.0395486626188021,0,0,0,0,0,0,1.97649422710854,0,0,0,0,0,0,-1.80857928921818,0,0,0,0,0,0,0,0,0,0,0.717760492074021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0.413247352492534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,-1.87694897232662,0,0,0,0,0,0,0,0,0,0,0,0,-0.589602948492725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0.00236797338288044,0,0,0,-0.445622346931127,0,0,0,0,0,0,0,0,0,0,0,0,0.549610806238562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,-0.19181190966073,1.35686236524959,0,0,0,0,-0.110029920538505,-0.758969972907662,0,0,0,0,0,0,0,0,0,0,0,-0.374664421384697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",-0.99876062995804,0,0,0,0,0,0.241693911860379,0,0,0,0,0,0,0,-0.180772730901009,0,0,0,0,0,0,-0.955197650272905,0,0,0,0,0,0,0,-0.257155123958785,0,-0.186159356051108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0.0704059929023497,0,0,0,0,0,0,0,-0.404368784331501,0,0,0,0,1.2659605482988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.245883880219201,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,-1.1269998636455,0,0,0,0,-2.82489573132108,0,-0.365574593493526,0,0,0,0,0,0,0,0,0,0,0,0,1.21658360816226,0,0,0,-1.06527212498106,0,0,0,0,0,0,0,0,-0.879122483091918,0,0,0,0,0,0,0
"44",0,0,0,0,-0.344198465026798,0,0,0,0,0,0,0,0,-0.318017072019101,0,0,-0.00744952748351993,0,0,0,0,0.196394501907148,0,0,0,-0.933870272418047,0,0,0,0,0,0,0,0,0,0,0,0.058861716347376,0,0,0,0,0,0,0,0,0,0,0,0
