"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",2.9281029922406,0,0,0,0,0,2.36684397690807,0,2.72738528849024,0,0,0,-3.54158002005661,0,0,0,0,0,2.42692944542327,0,0,2.91662947855411,0,0,0,0,1.93411737476823,0,0,0,2.03615801300157,0,4.04990039355156,0,2.02756124909244,0,0,0,0,0,0,0,2.33482868853706,2.95662972940445,2.91696546003916,0,0,0,0,0
"2",0,0,0,0,3.6523588598026,0,4.64927380854442,0,0,3.04516364582736,0,-3.13520159647746,0,0,0,0,0,-2.08520274631733,3.14647962876411,0,0,0,0,0,0,0,0,0,0,3.47948666817842,1.93794147322805,3.33851034526584,0,0,0,0,0,0,0,0,2.77789558413167,0,0,0,0,3.05619493584465,2.60567095390573,0,0,0
"3",2.78989500920431,2.85191770179033,0,0,0,0,0,0,3.16384122621455,2.49501977861326,2.40453816126462,2.22829287817401,0,2.45486966753674,0,3.23516746901082,0,0,0,0,0,0,6.37280606851139,0,0,0,0,2.98186326635862,3.2418049162913,0,0,0,3.12740875313227,1.84857195422664,4.73725126768323,0,0,0,0,2.51816588953902,0,0,3.20132124712669,2.85454097471938,4.79839186283972,0,0,0,2.40237640817032,0
"4",2.26838273504361,0,-3.12518769926297,-3.55878557695877,0,4.88481746688687,0,2.02951928856171,2.91917260092605,0,0,0,0,0,0,0,0,0,2.11958102739603,3.19042654451964,3.49235300503522,2.69097423420871,0,2.57572412164578,2.47383201680494,3.15041187899983,3.58582301285037,0,0,0,0,0,0,0,0,0,2.2146181538795,3.51544572966412,0,0,2.7377241244049,0,-2.30652179696049,0,1.86353806825789,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,-2.21375723460551,3.62880698672772,0,0,0,-3.09562713851433,0,0,0,0,-2.19416990577876,3.29148107823414,0,0,0,3.20216034679748,0,0,0,-2.2055566543137,0,-2.85336849167469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.72760691753285,2.62405234282215,0
"6",0,3.19554698619313,0,-6.34169985258669,0,0,0,0,0,-3.40550340342785,0,0,0,0,0,0,0,0,0,0,0,2.26210878293456,0,0,0,0,0,0,0,2.69274231450795,0,2.40141026209427,0,0,0,-2.20233533302459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,4.55502492094972,0,0,0,0,0,0,0,-1.92133652494042,0,2.60134787103485,-2.43785419718741,0,0,0,0,2.26499074131664,0,-2.21916984598931,0,0,2.66942940836161,0,0,0,0,0,0,0,0,0,4.57460859745928,-3.99249707614039,1.63583280475433,0,0,0,0,-1.82136718952439,0,0,0,0,0,0,0,0
"8",0,2.11498935051632,0,0,0,0,0,2.5348704792424,0,0,-2.81957926197314,0,0,0,0,-3.79696690952709,-3.21321840976105,0,-2.40664178860772,0,0,0,0,0,-4.05782655715089,0,0,0,0,0,-2.96291298261391,0,0,0,0,0,0,3.3073733477926,0,0,0,0,0,0,2.91110100785041,0,4.55525843522128,0,0,2.10377877086011
"9",0,0,0,2.71109046154758,0,-3.21079134318215,0,3.52063435828464,0,0,0,0,0,0,-1.94552848602064,1.90844844898894,0,0,0,0,0,0,0,0,0,4.01622134759136,2.06179943362518,0,0,0,0,0,0,0,0,0,0,-2.87970556965957,0,0,3.09297692630296,0,0,2.28983764938222,0,0,0,-2.81467949962482,0,0
"10",0,0,0,0,-1.79006252712449,0,0,0,0,0,0,0,0,0,-2.35656252362281,0,0,2.8477428309158,0,0,0,0,0,0,0,-2.78136842170995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99073186863268,2.46800026814893,0,0,0,0,0,0,0,0
"11",0,0,0,2.44712938040701,0,0,2.05491093189037,0,0,-3.41379552810396,0,0,0,0,0,0,2.49020164775536,0,0,0,0,0,0,0,3.18087170992342,-2.11186919033137,0,0,3.1828953287148,0,0,2.42401962783199,0,2.74023798755878,0,0,3.71665355464869,0,0,0,0,0,3.35913091993125,0,0,0,0,-2.40320014028035,3.62603144662089,4.94151846992197
"12",5.12650337958513,0,0,3.69846776493402,0,0,-2.10773777273234,-2.56275102111043,0,0,0,0,2.09959315062333,0,0,0,0,0,0,0,3.6006678696307,0,0,2.47434249631469,0,0,1.91434696926018,0,0,0,0,0,0,4.2189607413888,0,0,0,0,2.33195393274088,0,0,3.75508348158212,2.48525864854132,0,0,6.10909481994587,0,0,2.15259190521621,-2.61359585857123
"13",0,0,0,0,0,-2.48726991203101,0,3.24243986050902,0,0,2.87980094234392,0,0,0,0,0,0,2.79533370386042,-2.1824474369654,0,0,0,2.88891321488154,2.81493998900607,3.46477365406225,0,0,0,0,0,0,0,3.28909265089592,3.05719797545655,0,0,0,0,0,0,0,3.3929639341409,0,2.59951579489241,2.65630537392359,0,0,0,0,-4.51636145310084
