,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,0.963222554,-0.80218408,-0.559321565,-0.841230102,0.901109914,-0.824547477,0.725583863,0.738757469,0.865353824,0.516701623,0.807413939,1.00E-10,0,0.677408053,1.02E-10,0.837877121,0.638183992,-0.748065691,0.698677351,-0.679482402,1.07E-10,0.741985578,0.671457638,-0.631850759,-0.762572877,-0.484270554,0.702646814,0.436851581,-1.037371006,-0.815181526,0.6919193,-0.603904652,1.075613857,-0.718712493,0.689054254,1.02E-10,0.761862701,-0.601375719,-0.801276686,0.594378067,0.664419666,0.741496307,0.718423983,0.957072257,0.827232205,-0.854426973,-0.847617896,-0.521640495,0.663210184,-0.67437977
2,0.766348048,-0.678506058,0.747815854,0.755640981,0.004239968,-0.841310518,0.91540221,0.68525448,0.7221342,0.738419134,0.788923507,-1.04679279,0,-0.780388096,-0.707299739,0.707182152,-0.677888865,-0.724618829,0.708733086,0.80250277,-0.347094679,-0.749025721,-0.83583394,0.63344584,0.639488111,-0.56188452,-0.582675888,-0.741250121,-0.798254897,0.768201365,0.783630664,1.097869392,0.69538061,-0.761373669,0,0,-0.93033597,-0.791325073,-0.730690374,-0.647860813,0.895359305,0.63857916,0.557290552,-0.732456567,-0.637013773,0.795727438,0.809550944,1.00E-10,-0.704785423,0.694025498
3,0.675264248,0.933187774,-0.619162802,0.87368544,0.953357639,0.896404322,0.581040258,0.667393024,0.965655642,0.820152769,0.833128714,0.626037262,1.05E-10,0.804056595,0.563945732,0.759212667,0.677529761,-0.878719071,-0.381499331,0.6955769,1.03E-10,0.804054141,1.028350807,0.658744038,-0.730568357,0.705236743,-0.690236576,0.520221293,1.136777021,-0.64942731,0.637294122,-0.737224977,1.16026632,0.841720719,0.748281681,1.00E-10,-0.637996238,-0.855132425,0.623495158,0.614969774,-0.766362966,0.772862207,0.770273667,0.878303531,1.057747155,0.901423878,0.828032064,0.655128334,0.875362607,1.03E-10
4,0.755008493,-0.677831354,-1.098183537,-1.019657955,0.982115065,1.411848067,0.743718804,0.960123149,0.848885881,0.787485271,-0.901296535,-0.66527459,0,-0.706741281,-0.688731348,0.819722896,0,0.698701434,0.664304732,0.801346944,1.09E-10,0.835943284,0.858686413,0.624654962,0.919490239,0.848827908,1.040756522,1.02E-10,1.01E-10,0.621377718,0.735290919,0.727070318,-0.934090259,-0.786279986,0.808914706,1.13E-10,0.798722182,1.197147651,0.529999595,-0.713963887,0.713049635,-0.750984722,-0.935805354,0.713268159,0.7479007,0.786416725,-0.6706356,0.501882195,0.649062967,0.479944616
5,1.05E-10,0,0,1.10E-10,1.08E-10,0.046404902,1.07E-10,0.284667268,0.41740484,0.550786926,0,0,0,0,0,1.01E-10,0,0,0,0,1.08E-10,1.06E-10,0.004517652,0,1.07E-10,0.314100323,1.04E-10,0,-0.72166452,0,1.05E-10,1.02E-10,-0.828049607,-0.451236198,0,0,0,0.150390985,1.02E-10,-0.037096086,1.03E-10,1.07E-10,0.362861567,-0.434091514,0.572693032,1.04E-10,1.09E-10,1.04E-10,0,0
6,1.03E-10,0,0,-0.487824217,-0.180064575,1.02E-10,0,1.10E-10,0.330250147,-0.53527163,0,0,1.05E-10,0,0,0,1.06E-10,1.06E-10,1.15E-10,0,1.01E-10,0,0,1.03E-10,0,-0.00043068,1.07E-10,0,-0.242615122,0.072471941,0,0.564845951,0.370202817,0.661709599,1.10E-10,0,1.02E-10,-0.045199797,-0.485682817,0.08132259,1.03E-10,0.052607682,1.03E-10,0,0.405752368,1.03E-10,0,1.18E-10,1.13E-10,1.03E-10
7,1.09E-10,0,0,0,-0.097295795,1.03E-10,1.01E-10,0,-0.433182554,0,1.04E-10,0,0,0.106140048,1.01E-10,1.02E-10,0,1.03E-10,1.00E-10,0,0,0,1.02E-10,1.09E-10,1.08E-10,0.549925318,0,1.04E-10,-0.15152832,0,0,0,1.05E-10,0.574687938,0.838831756,1.04E-10,0,0,0,-0.002354227,1.01E-10,0,1.02E-10,1.07E-10,1.03E-10,1.04E-10,1.07E-10,1.16E-10,1.04E-10,1.05E-10
8,0,0.003063184,0,0,-0.287672116,1.02E-10,1.03E-10,0,0.561882479,0.599572129,0,0,1.01E-10,0,0.443156866,1.10E-10,0,0,1.02E-10,0,1.06E-10,0,1.01E-10,0,-0.609515927,0,1.00E-10,0,0.24791031,1.06E-10,-0.543784472,0,1.08E-10,-0.135261098,1.00E-10,0,0,0.887976606,0.342641311,1.02E-10,0,1.06E-10,1.04E-10,1.04E-10,0.993648497,1.01E-10,0,0,0,1.02E-10
9,1.00E-10,1.02E-10,1.09E-10,1.01E-10,0,-0.437460132,0,1.02E-10,-0.144253598,0,0,1.01E-10,1.03E-10,0,0,0,1.03E-10,1.06E-10,0,1.11E-10,1.07E-10,0,0,0,1.06E-10,1.137063911,0.140635031,1.04E-10,0.456677893,1.00E-10,1.07E-10,1.09E-10,1.07E-10,-0.770121645,0,0,1.09E-10,-0.483173023,0.601954171,1.05E-10,1.01E-10,0,1.04E-10,0,-0.06289872,0,0,-0.471277478,1.06E-10,1.13E-10
10,0.341245684,1.02E-10,1.05E-10,1.02E-10,-0.41335324,0,0,0.67728063,-0.583691561,1.00E-10,1.00E-10,1.13E-10,0,-0.388276932,-0.672923276,-0.449794031,1.08E-10,1.02E-10,1.00E-10,-0.159237543,1.06E-10,0,0,0,0,1.02E-10,-0.518653381,-0.729808865,-0.340060916,0,0.590714402,1.00E-10,-0.08615869,1.04E-10,1.05E-10,1.04E-10,0,0.012734792,0,-0.01044048,0.133776622,0.352664878,0,0,-0.44925602,1.04E-10,1.05E-10,0,0,1.01E-10
11,0.684649852,1.376363378,1.137193183,0.931019068,0,0.718694249,1.058827483,0.209630122,0.640404796,-1.07E-06,0.959942346,0,0,0.609006099,0,0.738468905,0.814471965,0.002467786,0.323228855,0.132412704,0,0.840818257,0.438436597,0.502959072,1.043165039,0.018006778,0.187776606,0.078758173,1.577769908,0.836978328,0.898871906,1.228376332,0.398303105,0.947356682,0,0,1.449504928,0.106763871,0.960128,0.658159818,0.668134062,0.399363679,1.546897188,1.403155257,0.83831896,0.19092973,0.794317073,0,1.16518159,1.128672092
12,1.511837086,0.948057087,0.338159086,1.199383266,1.15801005,0.569464051,0.183169017,0.268590427,0.38682351,0.600842408,0.451723007,0,0,0.465170018,0,0.91250159,0.025149419,0.435776673,1.80E-08,0.303479948,0,0.537662969,0.940901266,0.82507177,0.597599428,0.730744508,1.338930624,0.003983986,0.425629391,0.560596996,0.7020398,0.262460719,1.355589791,1.305880348,0.012483,0,0.360625735,1.055541818,1.444307477,0.007522555,0.051490398,1.388964784,1.274777061,1.022820485,1.134216518,1.068873315,0.472711841,0.813283087,1.403277159,0
13,0.46828459,1.01962648,0.032733745,0.482445779,0.360967778,0.010082048,1.168335524,1.515733266,1.068059024,0.553242184,1.125306075,0,0,0.668388702,0,0.625015642,0,1.069852581,0.483912877,0.738036953,0,0.565178762,1.137782508,1.224253305,1.278373269,0.389643132,0.882527712,0,0,0.982922215,0.736976046,0.3416066,0.79278176,1.51055677,1.198366915,0,0.501905385,0.989532355,0.272369549,0.461874955,0.597159786,1.302888659,1.055505766,1.023196126,1.451804148,0.276726713,1.13780511,0.200060377,0.884847574,-1.34E-07
14,0,0,0,0,0,0,0,-0.024915496,-0.416460841,0.398544433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110985322,0,0,-0.037175017,0,0,0,1.51E-06,9.25E-10,0,0,0,-0.000536835,0,-1.92E-07,0,0,-0.254712715,0.000183383,0.247163584,0,0,0,0,0
15,0,0,0,0,-5.99E-06,0,0,0,0.000926405,6.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12E-05,-6.61E-05,0,-0.001587414,0.147413741,-0.098936251,0,0,0,1.02E-09,0.004266095,5.92E-05,0,8.48E-05,0,0,-0.290756289,0,0,0,0,0
16,0,0,0,0,8.83E-10,0,0,0,0.190615135,0,0,0,0,-2.74E-05,0,0,0,0,0,0,0,0,0,0,0,-3.66E-08,0,0,5.19E-06,0,0,0,0,-0.331057559,0.074413483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,-8.92E-09,0,0,-4.89E-09,0,0,0,-2.98E-06,1.21E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000438645,0,0,0,-1.44E-06,0,-0.211122228,0,0,-4.67E-06,0,0,0,-0.001463715,0.59718274,0,0,0,0,0,0.357552053,0,0,0,0,0
18,0,0,0,0,0,-0.030036758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189157003,-0.009656037,0,0.00495236,0,0,0,0,-0.585966609,0,0,0,1.46E-06,-4.17E-06,0,0,0,0,0,-5.46E-06,0,0,-4.42E-07,0,0
19,-0.006240111,0,0,0,6.57E-07,0,0,0.289939559,0.145183137,0,0,0,0,0.024313792,0,0.281766622,0,0,0,-0.00065277,0,0,0,0,0,0,0.001251274,-3.56E-09,6.89E-06,0,-0.005014447,0,1.06E-10,0,0,0,0,0,0,3.22E-09,0.000164713,-0.010318943,0,0,0.004884695,0,0,0,0,0
20,0.878381774,1.135234875,0.696864322,1.026182281,0,0.123338727,0.406444816,0.717337329,0.865448102,0.310207141,0.604903851,0.844417292,0,1.055877526,0.616272826,0.670406809,0.455392131,1.011724903,0.046776991,0.891156064,0,0.69418089,1.338228919,0.292960245,0.43706196,0.786854171,0.271940354,0.134506281,0.842956965,0.744546919,1.210168213,1.417137678,0.781346794,0.513309722,0,0,1.111067262,0.949349203,0,0.933823924,0.277262781,0.643343953,0.610667084,0.150791058,0.828941095,1.236295274,1.044053838,0,0.64139043,0
