,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,0.613410401,0,0,0,0,0,0.375012884,0,0.731700332,0,0,0,-1.071908076,0,0,0,0,0,0.498519975,0,0,0,0,0,0,0,0,0,0,-0.81289375,0,0,0.736228662,0,0,0,0,0,-0.562686894,0,0,0,0,0.783837191,0,0,0,0,0,0
2,0,0,0,0,0.68120631,0,0.887167029,0,0,0.51843001,0.484942251,-0.988445872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788559598,0,0.682303525,0,0,0,0,0,0,0,0,0.720143777,0,0,0,0,0.813737651,0,0,0,0
3,0.530321,0,0,0,0,0,0,0,0.64361182,0.568212076,0,0,0,0,0,0.607920221,0,-0.970644444,0,0,0,0,1.783241052,0,0,0,0,0,0,0,0,0,0.507323954,0,0.671847111,0,0,0,0,0,-0.577213001,0,0.721720289,0.556851476,0.964635856,0,0,0,0.442378428,0
4,0,0,-0.893069219,-1.106420715,0.505491903,0.808138969,0,0,0,0,-0.628198554,0,0,0,0,0,0,0,0,0.719027124,0.733687228,0,0.649652502,0.629354268,0.690466216,0.794810294,1.126948689,0,0,0,0,0,0,0,0.494114717,0,0,0.67535184,0,0,0,0,-0.738428638,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0.949127607,0,0,0,-0.772976001,0,0,-0.465908407,0,0,0.690258207,0,0,0,0,0,-0.487880047,0,-0.490231928,0,-0.95616236,0,0,0,0,0,0,0,0,0,0,-0.573016416,0,0,0,-0.557136166,0.772682945,0
6,0,0.812787627,0,-1.533682661,-0.661217668,0,0,0,0,0,-0.564001227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622824959,0,0.579423197,0.510457852,0,0,-0.679565246,0,0,0,0.587735773,0,0,0,0,0,0,0,0,0,0
7,0,0,0,1.146374122,-0.464644208,0,0,0,0,0,0,0,0,0.633963042,-0.619715062,0,0,0,0,0.646991418,0,0,0,0,0.690894633,0.576934723,0,0,0,0,0,0,0,0,1.192236589,-1.007255336,0,0,0.436207542,0,0,0,0,0,0,0,0,0,0,0
8,0,0.61995169,0,0,0,0,0,0.53999628,0,0.61528658,-0.863829031,0,0,0,0,-0.751249819,-0.816920746,0,0,0,0,0,0,0,-0.918776111,0,0,0,0,0,-0.689238253,0,0,0,0,0,0,0.876330797,0,0,0.441667655,0,0,0,0.820438572,0,1.151394412,0,0.679975369,0.579443788
9,0,0,0,0.659492147,0,-0.542615771,0,0.73362321,0,0,0,-0.503513886,0,0,-0.510526944,0.619124875,0,0,0,0,0,0,0.746694838,0,0,1.296191022,0,0,0,0,0,0,0,-0.507447751,0,0,0,-0.740614709,0,0,0.747193236,0,0,0.586546874,0,0,0,-0.720745168,0,0
10,0,0,-0.601404885,0,0,0,0,0.532170023,0,0,0,0,0,0,0,0,0,0.600277452,0,0,0,0,0.771824394,0,0,0,0,-0.609399145,0,0,0,0,0,0,0,0,0,0,0,0,0.544144015,0.75460461,0,0,0,0,0,0,0,0
