,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,0.614392859,0.000219776,0.070703747,-0.337990741,0.34423946,-0.013176926,0.378243998,0.230249894,0.783592979,-0.119375728,0.014976777,0.048440679,-1.129233196,-0.229016186,-0.155230759,-0.277994884,-0.256232851,-0.126781422,0.154637399,-0.881913228,0.005162621,-0.119552686,-0.121439502,-0.038007899,0.114873737,0.04346251,-0.018529756,-0.244889157,0.284964885,-0.884331483,0.064570836,-0.441702709,0.716367158,0.029863771,0.457541338,-0.005482942,-0.067626207,-0.225735321,-0.326209022,0.187414089,0.139030186,0.157775272,0.370004307,0.563718236,0.402640475,-0.070483879,-0.013443481,-0.138150591,-0.178835933,0.111580583
2,-0.069112907,0.017652068,0.267505653,0.343076286,0.686741554,-0.410113286,0.898623229,0.237743804,0.478456778,0.591999754,0.017052414,-1.046031876,-0.343775173,-0.09893016,-0.246478321,0.533279315,-0.280407839,0.118751846,0.627731639,0.167828161,-0.641915713,-0.468736959,0.048741813,0.142037385,0.123153908,-0.177200574,-0.037975656,-0.219066501,0.034145012,0.12958523,-0.226778858,0.623787002,-0.111766447,-0.007781415,-0.093860212,0.016974514,-0.470392261,0.185869509,-0.142184021,0.019224437,0.952014479,0.081531092,-0.281925925,-0.198804208,-0.188502059,0.818993209,0.48121649,-0.189497989,-0.250667754,0.284516685
3,0.532004824,0.203499606,-0.076363151,0.077543897,-0.01666374,-0.254689785,-0.259516857,-0.030093133,0.897942949,0.607857024,-0.080342134,0.038430758,0.146862794,-0.094704716,0.286038153,0.376398017,0.200638951,-0.984892115,-0.107785652,0.385823611,-0.092973786,0.296123672,1.719005929,0.101472728,-0.14648886,0.267047557,-0.070611049,-0.17125744,0.369546027,0.397624201,-0.35184267,-0.300085511,0.502585858,0.222919781,0.667617991,0.339060755,-0.309393034,0.111633122,-0.217563206,-0.147635519,-0.817300844,0.146778943,0.721102655,0.208094952,0.849245388,0.013365079,0.229718928,-0.121450164,0.443702163,0.04211493
4,-0.036307932,0.123622553,-1.019405833,-1.139805019,0.501676669,0.775895712,0.015461621,0.535802067,-0.201006006,-0.192163031,-0.124482682,-0.031007199,-0.027578849,0.145600012,-0.231382323,-0.145735273,-0.288747594,-0.022158978,-0.05613469,0.089572687,0.753478992,0.335640191,0.035356414,0.646722835,0.786162319,0.790199689,1.07916825,-0.107096438,-0.122454117,-0.040677798,-0.424681881,-0.293525286,-0.099672035,-0.070628928,0.577152197,-0.153053722,0.601455516,0.799428531,0.006957934,0.103334882,0.107017077,0.127453043,-0.742306689,0.448020636,-0.137694983,0.121396603,-0.207006776,0.141535257,-0.109469453,-0.062953517
5,0.028826593,0.099478586,0.067518304,-0.048174786,0.029373059,0.03199735,-0.020879711,-0.001302243,0.077410734,-0.023109053,0,0.010446976,0.952819619,-0.072540333,0.059685637,0.030050161,-0.742734239,0.00515124,0.110809104,-0.667736264,0.095797701,-0.094719275,0.712548766,0.080866878,0.154332403,-0.116657314,0.711907814,0.019072616,-0.057181005,-0.123773347,-0.076694671,0,-0.96578174,-0.01276954,0,-0.020476889,-0.062809791,-0.119700084,-0.058798803,-0.058886098,-0.089422991,0,-0.007188699,-0.59538556,-0.060109122,0,0.042897162,-0.450078127,0.759294172,0.10326246
6,0.049072929,0.832579694,-0.039131873,-1.411889618,-0.587689383,-0.02985393,-0.018934165,0.039916642,0.020144244,-0.01830428,-0.600295533,-0.036010743,0.006746985,0.019873149,-0.041725183,0.020190803,-0.119430001,-0.030857128,-0.072702978,0.013850824,-0.072640803,0.716083514,-0.039115962,-0.024143444,0.028609993,-0.0298785,0.01564113,0.180899575,-0.01802565,-0.148087657,0.09384816,0.640494766,0.500043088,0.050079763,-0.225232364,-0.719366933,0.160958449,-0.029860668,-0.022461758,0.617173697,0.037557696,-0.040140905,0.021784846,0.064479623,-0.031446272,-0.023533836,0.01924197,0.030535606,0.001806775,-0.03544075
7,0.049155387,-0.040778579,0.104100381,1.191011114,-0.167382586,0.077593193,-0.109738753,0.028434274,-0.637383684,0.038955204,0.011488511,0.001900574,0.004841769,0.617625116,-0.590016106,-0.100406134,-0.029456627,0.024098949,0.138638709,0.509164526,-0.050437523,-0.011276086,0,0,0.615152659,0.581781216,0.032278644,0.032374679,0.102453221,-0.144883447,-0.043488324,0,0.106790997,-0.007141026,1.185812194,-0.830435467,0.155595105,0.098622291,0.46759635,-0.478605542,0.058210869,-0.018435213,-0.142018383,-0.083953174,-0.026860543,0.03519979,-0.112842631,-0.078475244,-0.206073566,-0.019345336
8,0.07158887,0.129571661,-0.031325079,-0.082640055,-0.075463401,0,-0.119740345,0.580616894,0.060922794,0.03260966,-0.838903044,-0.023454887,-0.053428163,-0.072041257,-0.015098856,-0.620792642,-0.821766993,-0.023968126,-0.223902543,0.053580754,-0.098488259,-0.069491263,0,-0.15197419,-1.08270286,0.001174194,-0.108461025,-0.787135996,0.040587568,0.036951795,-0.699664521,0,-0.037226189,0.049059871,-0.007249604,-0.042287891,-0.001607881,0.772880819,0.058982643,-0.022306089,0.457422939,-0.010118539,-0.145439203,0.031652194,0.725201077,-0.018362736,1.026669808,-0.049817954,0.69376304,-0.044561779
9,0.060696732,0.06146023,-0.007119285,0.653932568,-0.092574623,-0.57249773,-0.099602134,0.717880249,-0.012066447,0.073873122,0.079568704,-0.126412234,0.008568757,0,-0.559954609,0.636234197,-0.551489149,-0.069774556,0.043014598,0.050620567,0.226082689,-0.052722059,0.161533162,-0.048038799,-0.637669417,1.299561447,-0.044642565,0.136117072,-0.00390991,0,0.079895559,-0.126079684,0.020721937,-0.425629207,-0.022913398,-0.029715941,0,-0.812357899,-0.031291083,-0.060204616,0.68998345,0,0,0.504350895,0.037485871,0.023115029,0.008093627,-0.889050137,-0.096547868,-0.045169778
10,0.002298232,0.052115327,-0.605574707,-0.020313226,0.066901508,0.004494225,-0.069358924,0.633754143,-0.059230268,-0.064235049,-0.03966141,0.019017412,0.037247072,0.020884304,-0.001840941,-0.059510326,-0.728622793,0.618483021,0.049992706,-0.020389657,-0.07756277,-0.058987813,0.715194695,-0.059616649,-0.111985497,-0.006667461,-0.172465353,-0.582076764,-0.021064514,0.012992121,0,-0.080960729,-0.012973095,-0.03033869,-0.017952134,-0.037864196,0.075650637,-0.074728426,-0.002228615,0,0.595307216,0.868766021,-0.010425082,0.024752852,-0.051652298,0,0.01534663,0.028723574,-0.01193437,0.038306584
11,0.808206868,1.145712746,1.150380864,1.442461489,0,0.892915333,1.362771602,0,1.066605969,0,1.401643513,0.92087013,0.488951506,0.975469805,0,1.33908913,1.183469602,0,0.571217781,0,0,0.834511479,0,0,1.303391934,0,0.597758444,0,1.438008219,0.968801871,0.670133338,1.379287877,0,1.492953027,0.948982039,0.953138225,1.475179219,0,1.353451303,0.874826908,0.898696446,0.602391224,1.655157723,1.457404978,0.963651336,0.722298468,0.667578331,0,1.640218519,1.724476359
12,1.954957567,1.008421213,0.704752486,1.644894346,1.106348862,0,0,0,0,1.09087773,0,1.094423703,1.314312672,0.904110391,1.228162814,1.070037961,0.806041115,0.930914139,0.705116358,0,1.60753318,0.986699491,0.91334393,1.075425796,0.911966909,1.291632266,1.314036032,1.001007589,0,0.546953584,0,0.825837307,1.08707433,1.915604943,0,0.684786101,0.613938274,0.73262351,1.322361434,0,0,1.809965769,1.554170334,1.043200464,1.17245167,1.783273313,0.762788304,0.936142588,1.413662689,0
13,0.588712139,1.097189053,0,0.751130039,0.601959816,0,1.303334985,1.604466403,0.896354112,0.960364129,1.404620922,0,0.60813946,0,1.065501202,0.900127763,0.810492529,1.469066295,0,0,0,0,1.520989244,1.533254455,1.219626651,0,0.850098461,0.965649783,0.660729525,1.341267513,0.7699956,0.652483068,1.549674168,1.493025247,1.23827443,1.565936054,0.567480179,1.416967453,0,0.859132526,0.696092967,1.833312186,1.184268195,1.450281495,1.405479544,0,1.089187349,1.443203008,0.992267364,0
14,0,-0.94378261,-0.974749342,0,0,0,0,-0.404605916,-0.877032535,0.68355054,0,0,0,0,0,0,0,-0.65110626,0,1.055859386,0,0,0,0,0,-0.526853156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.539089579,0,0,0,0,0,0,1.501723518,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.78287446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.673219582,0,0,0,0,0,0,0,0,0,-0.768960836,0,0.623412396,0,0,0
