,mse.vanillalasso.poly,mse.plainlasso.poly,mse.vanillastep.poly,mse.plainstep.poly,mse.shim.poly
1,29.58543075,29.63487373,33.32518134,33.25780416,30.11168214
2,30.69992046,31.6409743,35.44545068,37.56028459,30.93448202
3,30.48851864,31.38495928,33.4870828,32.24083934,31.55633985
4,27.03501796,27.47404627,41.85929923,42.24002705,30.79027888
5,30.54897614,30.98556223,37.53977869,37.20343107,33.77648626
6,29.59099148,30.14612383,34.71577102,34.91221837,32.40057158
7,27.83068593,27.91622333,32.44464066,32.29920483,28.13828515
8,29.72657597,31.06249742,42.47041383,40.14613567,32.128596
9,31.98948603,30.93567381,37.19907822,30.6128669,34.55551447
10,28.50296979,28.21011534,33.68611636,32.63160645,31.16233657
11,29.78104811,29.38464603,36.38978467,36.83055374,29.23418263
12,28.59432234,29.49503432,34.20908456,34.36601108,33.26490741
13,28.93049759,32.70869446,33.94481597,33.570105,39.43241896
14,28.09031033,28.43720475,29.78890605,29.75937495,29.04499642
15,29.39196968,29.50375465,32.67874961,32.442494,35.56880554
16,27.65893899,27.21239536,31.7596913,33.22716892,28.18309429
17,29.91119475,29.69550236,35.68743971,34.35038798,32.66871531
18,28.07086479,28.81587711,34.24141143,34.08561417,30.59080593
19,30.812103,30.47825004,38.46814812,35.01727683,30.19667576
20,29.25225981,28.75543989,42.48117724,40.17905144,30.53402842
21,30.83129402,31.25937806,41.2816566,40.44493708,37.65714172
22,28.40590413,28.72973372,32.11314227,31.09054966,28.06264283
23,28.0951367,28.27326733,35.14199273,36.50149033,29.19732868
24,27.943814,28.49942913,30.11291879,29.87906465,28.43844878
25,31.15393605,32.16677093,43.33024123,41.13831912,30.92341678
26,30.19500385,31.57483637,38.68952571,38.31601818,33.76409742
27,31.53426705,32.13416076,37.82158822,36.76974243,32.56607798
28,32.24063443,32.75470515,38.06452374,37.12299403,35.65984232
29,28.94763649,29.21472067,32.45600676,32.0958739,35.97333495
30,28.03987705,28.30075372,31.84236956,33.50399272,28.20311116
31,30.78318994,31.48266266,33.043781,31.24761749,30.66843552
32,28.95167805,29.26562942,30.4151241,30.67994772,31.14769972
33,28.71772936,29.00144732,34.16840622,34.15769863,31.40901975
34,26.89127448,27.14919355,31.40282397,30.11057839,31.90167714
35,30.07064061,32.01776038,37.84179461,38.02368922,33.83958614
36,28.68708304,28.30869804,39.69175733,36.95481192,39.2864597
37,30.33068326,29.87021803,33.65327005,33.59406746,31.61915484
38,28.54391687,29.58477795,35.84196161,34.48367936,32.01228961
39,31.69160563,31.99837136,37.02450197,37.13502908,34.24688431
40,28.24149059,28.66889685,32.07904876,31.80018693,28.5435638
41,29.2928834,29.59804799,35.99341072,33.04060386,29.68537187
42,27.32856533,27.37765345,31.16206598,32.13708154,28.25540117
43,29.73110172,30.23691689,34.69486683,33.49084463,29.12817738
44,28.72897814,29.22786245,34.33100594,34.9580807,30.30003337
45,30.37314455,30.9543021,33.65144693,33.71730519,34.42706469
46,29.49228835,29.03354174,32.56491767,33.7222886,29.20436151
47,29.59673481,29.43297607,32.19762365,32.63503189,29.23329852
48,29.73266515,30.4656236,37.95564076,36.27670846,33.49007274
49,28.78957212,28.41278888,33.43248064,32.94926721,29.70850927
50,30.1508119,30.28290715,36.52223702,33.76040982,32.09023666
