,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
x1,4.218843077,2.854000907,2.78133994,2.29627006,3.395076929,3.063817481,4.113780654,3.653279416,4.443466616,3.350729397,3.942625635,3.122152676,1.48545516,3.664486583,3.591336332,4.010716943,3.461826855,2.670411745,3.448751631,2.302926605,2.917781561,3.931171647,3.451914599,2.711009961,3.07723595,3.343710089,3.792821186,3.444413604,1.766345924,2.316171829,3.434847713,3.291582505,4.398662803,3.449993939,4.169245807,3.42581919,3.50662286,3.633240321,2.865599511,3.643446256,3.101473423,3.54738685,3.854984836,4.271822741,4.052325533,2.630136233,2.954200483,3.071452307,3.277696564,2.852912451
x2,3.464756341,2.964846523,3.671641491,3.336918052,3.274646929,2.936743641,4.774487673,3.037793312,4.020705006,4.384348476,4.252604902,1.80770435,2.825170979,3.085600881,3.206198954,3.917574133,2.335451917,2.453839187,3.187629926,3.840659999,2.573358056,2.723196947,2.802688329,3.711803373,3.350383319,3.280123243,3.431324347,2.053378551,2.632182397,4.359375539,3.030947258,4.562565444,3.046520758,3.353637241,3.233508828,2.722050971,2.357428963,2.690286646,2.908345203,3.430564385,3.958880375,3.270204965,3.554113735,3.010522171,2.981250023,4.327520628,3.958320185,3.258837075,3.284121882,3.305456105
x3,4.091274471,4.683040311,3.06614129,3.990305275,3.286969882,3.304830592,3.357507527,3.410722579,4.656339025,4.202807639,3.961927162,3.618182551,3.554080295,4.121172461,3.185410462,4.450331122,4.032271052,2.449657076,3.172463976,3.295746931,3.149877527,3.453358485,5.032650757,3.643170153,3.002120752,3.81399999,3.015628328,3.743286745,2.913454769,2.981264191,2.592525679,2.869642086,4.357479498,3.760249496,4.540521505,3.84454482,2.874270694,2.426998889,3.62650432,3.84047412,2.341054375,3.681034042,4.269412583,4.471373645,4.472010778,4.083561738,3.474469811,3.741119627,3.817890139,3.047152189
x4,3.878392675,2.54144678,1.760678962,1.760033645,3.729928784,4.888281248,3.18012725,3.78908178,4.078896913,4.109542232,2.405564841,3.18195673,3.169436271,2.873241547,3.165990209,3.513327052,2.943134544,3.57929332,3.500505292,3.700472243,4.53982613,4.045060351,3.759528902,4.10794191,4.342724872,4.658441494,4.479652472,2.737847429,2.062279202,3.286795978,3.285157029,3.881764365,2.697789481,3.306535476,3.989913381,2.671792239,4.229914788,4.168033467,3.710357365,3.249664426,3.370276698,3.249561959,2.095060711,3.398225803,3.645738266,3.9947879,3.314225236,3.702372054,3.547031235,3.58756653
x5,0,-0.012187663,0,0,0,0.030257429,0,0,0.298334264,0,-0.090954109,-0.300509275,0.960349645,0,0,0,-0.356603586,-0.04652503,0,0,0,0,0.564174798,0,0,0,0,0,0,0,0,0,-0.767712183,0,0,0,0,0,0,0,0,0,0.052968154,-0.303954017,0.042644338,0,0,-0.232132278,0.081042961,0
x6,-0.095201569,0.427156522,0,-0.90654364,0,0,0,0,0,-0.396200682,-0.326171792,0,0,0,0,0,0,0,0,0,0,0.302630884,-0.078195897,0,0,-0.068563029,0,0,0,0.345885606,0,0.638692586,0.195763608,0.095423132,-0.312843942,-0.220674545,0,0,-0.038894807,0.169281031,0,0.030454654,-0.016939551,0,0,0.042948231,0,0.041770839,0,0
x7,0,0,0,0.562947572,0,0,0,0,-0.302110374,0,0,-0.016698541,0,0.521818916,-0.156966664,0,0,0.112439486,0,0.137017754,0,-0.259128471,0,0,0.098761428,0.043417577,0,0,0,0.028497033,0,0,0,0.167617401,1.378993678,-0.437888052,0,0,0.129440574,-0.084130797,0,-0.292742707,-0.13306668,0,0,0,0,0,0,0
x8,0,0.325062955,0,0,0,0,0,0.026957852,0,0.487688972,-0.744461133,0,0.198529154,0,0,-0.449138278,-0.401593475,0,0,0,0,-0.167399811,0,0,-1.078562945,0,0,0,0,0,-0.102162497,0,0,-0.192671594,0,0,0,0.175607269,0,0,0.021661654,0,0,0.01984582,0.910845613,0,1.100810328,0,0,0.299229787
x9,0,0,0,0.122463114,0,-0.516837802,0,0.541228543,0,0,-0.122897763,-0.190806012,-0.110897121,0,0,0.257496243,0,0,0,0,0,0,0.31577639,0,0,1.134240907,0.41324856,0,0,0.277752728,0,0,0,-0.34871384,0,0,0,-0.241655885,0,0,0,0,0,0.358659822,0,0,0,-0.558909985,0,0
x10,0.001262753,0,-0.266783822,0,0,0,0,0.1320837,0,0,0,0,0,-0.276260097,-0.419012486,0,-0.144761612,0.475626421,0,-0.194872514,0,0,0.136566611,0,-0.082628286,-0.252385557,0,-0.00115852,0,-0.170856998,0,0,0,0,0,0,0,0,0,0,0,0.613600073,0,0,0,0,0.187165182,0,0,0
